question,x,y
sandwich cookie,0.91283,0.31018
black-and-white cookie,0.87181,0.33539
popular cookie,0.0,1.0
mountain: prefix,0.96530,0.28033
sweet sandwich,0.90994,0.40588
creme-filled cookie,0.84109,0.17730
nabisco cookie,0.72334,0.18227
cookie favorite,0.75711,0.33926
mountain: comb form,0.89809,0.20441
layered cookie,0.66558,0.36215
black-and-white treat,0.90697,0.46754
two-tone treat,0.88471,0.04813
two-tone cookie,0.76987,0.24939
hydrox rival,0.88383,0.30176
triple-decker cookie,0.71345,0.35440
black-and-white cookies,0.80863,0.49743
nabisco treat,0.87961,0.37074
cream-filled cookie,0.85944,0.23185
twistable cookie,0.74513,0.36968
best-selling cookie,0.75458,0.38649
sandwich cookies,0.92772,0.21960
twistable treat,0.90777,0.13533
black-and-white snack,0.85309,0.64250
cookie since 1912,0.84053,0.36565
creme cookie,0.83924,0.19550
cookie brand,0.74365,0.22984
lunchbox treat,0.91564,0.14676
dunkable treat,0.89439,0.02996
three-layer cookie,0.69752,0.42650
classic cookie,0.77203,0.49798
cookie many take apart,0.90921,0.28930
milk's favorite cookie,0.87360,0.40227
modern ice cream flavor,0.81051,0.33737
black-and-white snacks,0.85958,0.64114
double stuf cookie,0.73949,0.40860
creme-filled snack,0.79641,0.29616
two-toned treat,0.92249,0.05544
nabisco cookies,0.82225,0.48936
snack in a stack,0.84827,0.21490
black-and-white bite,0.79302,0.32740
nabisco favorite,0.84454,0.20793
black and white cookie,0.87181,0.33539
white-centered snack,0.78891,0.36502
three-part cookies,0.94122,0.37500
nabisco goodie,0.84929,0.18512
biscuit introduced in 1912,0.73893,0.19022
snack since 1912,0.84316,0.33595
popular cookies,0.94224,0.40678
stackable cookie,0.76488,0.41024
triple-decker treat,0.92265,0.10279
nabisco brand,0.80720,0.30088
double delight snack,0.84899,0.14259
treat with milk,0.88570,0.58895
lunchbox dessert,0.84583,0.33413
dunkable cookie,0.74487,0.34532
three-layer treat,0.89937,0.13395
layered treat,0.92674,0.03072
layered snack,0.80450,0.22212
cookie often eaten inside-out,0.75873,0.52461
mcflurry flavor,0.92189,0.33392
cookie choice,0.75458,0.38649
common cookie,0.78919,0.26985
cookie introduced in 1912,0.84133,0.36402
hydrox competitor,0.88025,0.32000
popular sandwich cookie,0.90479,0.31067
nabisco nibble,0.82203,0.20771
creme-filled treat,0.84322,0.46832
after-lunch sandwich,0.90790,0.35489
two-toned cookie,0.75658,0.37900
bicolor bite,0.84776,0.30442
cookie with creme,0.82028,0.17640
circular snack,0.80320,0.19492
droxie alternative,0.88282,0.18868
filled cookie,0.75658,0.37900
layered cookies,0.94302,0.46361
sweet sandwiches,0.92432,0.31650
two-tone treats,0.89646,0.07022
lunchbox treats,0.88750,0.13614
treats with milk,0.88570,0.58895
hydrox alternative,0.90308,0.21771
nabisco bestseller,0.83527,0.20629
vowel-rich cookie,0.76062,0.46994
stackable snack,0.83297,0.16227
cakesters brand,0.96672,0.36478
three-layer snack,0.83134,0.12284
nabisco product,0.83320,0.22659
treat for cookie monster,0.90458,0.31945
creme-filled chocolate cookie,0.82026,0.17991
crunchy ice-cream ingredient,0.81760,0.31883
snack cookie,0.84086,0.34366
sandwich-cookie name,0.90461,0.30308
twist-apart treat,0.88515,0.60521
cream-filled cookies,0.71998,0.07142
creme-filled cookies,0.82208,0.46877
double stuf treats,0.90862,0.05166
nabisco nosh,0.84946,0.18969
chocolate cookie,0.70477,0.49267
round sandwich,0.91560,0.39032
twistable snack,0.83991,0.22350
twist-apart cookie,0.91374,0.30436
after-school treat,0.92856,0.09365
two-color cookie,0.74513,0.36968
popular cookie brand,0.74232,0.22937
white-centered cookie,0.74024,0.29822
nabisco mainstay,0.82311,0.19118
cookie in some klondike bars,0.69707,0.39769
stackable cookies,0.92508,0.41553
after-lunch sandwiches,0.91002,0.31451
sandwiches for dessert,0.84417,0.50828
two-tone cookies,0.93853,0.48442
after-school snack,0.84789,0.17082
hydrox lookalike,0.90729,0.20177
sandwich snack,0.85649,0.50617
nabisco classic,0.84270,0.17653
sweet snack,0.82012,0.18161
black and white treat,0.90697,0.46754
hydrox look-alike,0.90340,0.25378
dunkable dessert,0.84608,0.37643
sweet treat,0.89266,0.02621
double stuf treat,0.89432,0.07187
three-ply snack,0.79247,0.15301
three-part snack,0.83487,0.27663
wonderfilled cookie,0.78795,0.42087
double delight cookie,0.71345,0.35440
popular snack,0.78622,0.19548
sweet treat since 1912,0.89076,0.31059
three-tier cookie,0.69080,0.44734
twisted treat,0.92414,0.10071
snack item since 1912,0.84759,0.32831
cookie with a creme center,0.82540,0.19972
certain cookie,0.79494,0.37023
classic snack,0.80923,0.13531
snack first created in 1912,0.84941,0.33968
stacked cookie,0.69080,0.39214
two-tone dunker,0.90646,0.32148
sandwich treats,0.88766,0.42348
black-and-white treats,0.90697,0.46754
twistable cookies,0.95057,0.49978
two-tone snacks,0.82624,0.15602
