clue,count,percent
Sandwich cookie,122,4.19
Black-and-white cookie,95,3.26
Popular cookie,75,2.58
Sweet sandwich,60,2.06
Creme-filled cookie,60,2.06
Nabisco cookie,57,1.96
Cookie favorite,39,1.34
Layered cookie,37,1.27
Black-and-white treat,35,1.20
Two-tone treat,31,1.06
Two-tone cookie,30,1.03
Hydrox rival,28,0.96
Triple-decker cookie,27,0.93
Nabisco treat,26,0.89
Cream-filled cookie,25,0.86
Twistable cookie,25,0.86
Best-selling cookie,23,0.79
Black-and-white snack,22,0.76
Cookie since 1912,22,0.76
Twistable treat,22,0.76
Creme cookie,21,0.72
Cookie brand,20,0.69
Lunchbox treat,18,0.62
Dunkable treat,18,0.62
Three-layer cookie,18,0.62
Classic cookie,16,0.55
Cookie many take apart,16,0.55
Modern ice cream flavor,15,0.52
Double Stuf cookie,14,0.48
Two-toned treat,13,0.45
Creme-filled snack,13,0.45
Black and white cookie,12,0.41
Nabisco favorite,12,0.41
Snack in a stack,12,0.41
Black-and-white bite,12,0.41
White-centered snack,12,0.41
Snack since 1912,11,0.38
"""Biscuit"" introduced in 1912",11,0.38
Nabisco goodie,11,0.38
"""Milk's Favorite Cookie""",11,0.38
Nabisco brand,10,0.34
Stackable cookie,10,0.34
Triple-decker treat,10,0.34
Double Delight snack,10,0.34
Dunkable cookie,10,0.34
Treat with milk,9,0.31
Cookie often eaten inside-out,9,0.31
Three-layer treat,9,0.31
Layered snack,9,0.31
Layered treat,9,0.31
Cookie choice,9,0.31
Cookie with creme,9,0.31
McFlurry flavor,9,0.31
Common cookie,9,0.31
After-lunch sandwich,8,0.27
Two-toned cookie,8,0.27
Hydrox competitor,8,0.27
Filled cookie,8,0.27
Bicolor bite,8,0.27
Cookie introduced in 1912,8,0.27
Popular sandwich cookie,8,0.27
Circular snack,8,0.27
Creme-filled treat,8,0.27
Nabisco nibble,8,0.27
Droxie alternative,8,0.27
Nabisco product,7,0.24
Hydrox alternative,7,0.24
Vowel-rich cookie,7,0.24
Lunchbox dessert,7,0.24
Stackable snack,7,0.24
Three-layer snack,7,0.24
Snack cookie,7,0.24
Treat for Cookie Monster,7,0.24
Sandwich-cookie name,7,0.24
Twist-apart treat,7,0.24
Cakesters brand,7,0.24
Creme-filled chocolate cookie,7,0.24
Mountain: Comb. form,6,0.21
Round sandwich,6,0.21
Twistable snack,6,0.21
Two-color cookie,6,0.21
Nabisco nosh,6,0.21
Popular cookie brand,6,0.21
Crunchy ice-cream ingredient,6,0.21
Twist-apart cookie,6,0.21
White-centered cookie,6,0.21
Nabisco mainstay,6,0.21
Cookie in some Klondike bars,6,0.21
Popular snack,5,0.17
Snack item since 1912,5,0.17
Chocolate cookie,5,0.17
Hydrox lookalike,5,0.17
Cookie with a creme center,5,0.17
Nabisco bestseller,5,0.17
Black and white treat,5,0.17
Three-ply snack,5,0.17
Hydrox look-alike,5,0.17
Sweet treat,5,0.17
After-school snack,5,0.17
After-school treat,5,0.17
Nabisco classic,5,0.17
Sweet treat since 1912,5,0.17
Classic snack,5,0.17
Snack first created in 1912,5,0.17
Stacked cookie,5,0.17
Sandwich snack,5,0.17
Dunkable dessert,5,0.17
Twisted treat,5,0.17
Double Stuf treat,5,0.17
Certain cookie,5,0.17
Sweet snack,5,0.17
Double Delight cookie,5,0.17
"""Milk's favorite cookie""",5,0.17
Three-tier cookie,5,0.17
Two-tone dunker,5,0.17
Three-part snack,5,0.17
"""Wonderfilled"" cookie",5,0.17
Lunch box treat,4,0.14
Nabisco snack,4,0.14
Black and white sandwich,4,0.14
A favorite with milk,4,0.14
Chocolate treat,4,0.14
It comes in black and white,4,0.14
Three-part cookie,4,0.14
Sandwich treat,4,0.14
Snack choice,4,0.14
Crossword cookie,4,0.14
Black-and-white sandwich,4,0.14
Lickable cookie,4,0.14
Ice cream flavor,4,0.14
Nosh from Nabisco,4,0.14
Little dipper?,4,0.14
"Double Stuf, e.g.",4,0.14
Oft-dunked treat,4,0.14
Big Stuf cookie,4,0.14
Billion-selling cookie,4,0.14
Crumbled ice cream topping,4,0.14
Top-selling cookie,4,0.14
Triple-decker snack,4,0.14
Nabisco offering,4,0.14
Tiered treat,4,0.14
Dirt pie ingredient,4,0.14
Sister brand of Nilla,4,0.14
Mountain: prefix,3,0.10
Chocolate sandwich,3,0.10
It may get a good licking,3,0.10
Snack that's bitten or licked,3,0.10
Snack that's often separated,3,0.10
It may get a licking after dinner,3,0.10
It's often twisted apart,3,0.10
Popular lunch bag munchie,3,0.10
Stratified snack,3,0.10
Black-and-white classic,3,0.10
Bite in black and white,3,0.10
Dessert sandwich,3,0.10
Soft-centered snack,3,0.10
It has a creamy middle,3,0.10
Nabisco item,3,0.10
___ O's (Post cereal),3,0.10
Cookie type,3,0.10
Lunchbox cookie,3,0.10
Chiaroscuro cookie,3,0.10
Black and white snack,3,0.10
Licked cookie,3,0.10
Oft-dunked cookie,3,0.10
Milk go-with,3,0.10
Cookie with filling,3,0.10
Three-tiered treat,3,0.10
Grade-school snack,3,0.10
Sunshine Hydrox alternative,3,0.10
Triple-layer cookie,3,0.10
Cookie with three parts,3,0.10
Oft-twisted cookie,3,0.10
Popular snack since 1912,3,0.10
Cookie treat since 1912,3,0.10
Two-tone snack,3,0.10
Cookie that predates crossword puzzles,3,0.10
Crunchy ice cream flavor,3,0.10
Multi-level cookie,3,0.10
Sandwich-style sweet,3,0.10
DoubleStuf cookie,3,0.10
Cookie snack,3,0.10
Popular cookie since 1912,3,0.10
Sandwich cookie name,3,0.10
Cookie with its name on its side,3,0.10
Ice cream add-in,3,0.10
Oft-twisted treat,3,0.10
Cookie that debuted in 1912,3,0.10
Embossed snack,3,0.10
"""Milk's favorite cookie,"" according to ads",3,0.10
Lickable treat,3,0.10
Nabisco best-seller,3,0.10
Cookies-and-cream cookie,3,0.10
Classic Nabisco snack,3,0.10
Kraft cookie brand,3,0.10
Cookie with a floral design on it,3,0.10
Lunchbox goody,3,0.10
Stacked snack,3,0.10
Ice cream mix-in,3,0.10
Vowel-rich snack,3,0.10
Dirt cake ingredient,3,0.10
Longtime Hydrox competitor,3,0.10
Crosswords' favorite cookie,3,0.10
Dunking cookie,3,0.10
White-and-black stacked snack,3,0.10
Cookie shaped like two of its letters,3,0.10
Hundred-year-old cookie,3,0.10
Crunchy ice-cream flavor,3,0.10
Cookie deep-fried at fairs,3,0.10
Cookie with a Thins variety,3,0.10
Cookie in some ice cream,3,0.10
Cookie in pie crusts,3,0.10
Cookie with a twist?,2,0.07
Cookie jar denizen,2,0.07
A kid'll eat the middle of one first,2,0.07
Oft-disassembled cookie,2,0.07
Often-dunked item,2,0.07
Sandwich for dessert,2,0.07
Bestselling cookie,2,0.07
Snack treat,2,0.07
"Kind of ""snackwich""",2,0.07
Grade school snack,2,0.07
After-dinner sandwich?,2,0.07
Creme sandwich,2,0.07
Creme treat,2,0.07
Dunker's cookie,2,0.07
Chocolate-and-cream cookie,2,0.07
Cookie in stacking contests,2,0.07
Dessert item since 1912,2,0.07
Lunch box cookie,2,0.07
Cookie,2,0.07
"New ""biscuit"" of 1912",2,0.07
Cream sandwich,2,0.07
Lunchbag dessert,2,0.07
Cookie with a crunch,2,0.07
Lunchbox snack,2,0.07
Snack cookie since 1912,2,0.07
Black-and-white delight,2,0.07
It may be pulled apart before eating,2,0.07
Droxie rival,2,0.07
Cookie with a creamy middle,2,0.07
DoubleStuf treat,2,0.07
Snack brand that sponsored Dale Earnhardt,2,0.07
It's creamy in the middle,2,0.07
Particular sandwich cookie,2,0.07
Two-tone sandwich,2,0.07
Chocolate Creme cookie,2,0.07
"Double Stuf, for one",2,0.07
Bicolor treat,2,0.07
"Brown bagger's dessert, perhaps",2,0.07
Round sandwich cookie,2,0.07
Goodie in the lunchbox,2,0.07
It has two tones and three tiers,2,0.07
Nonagenarian cookie,2,0.07
Its top may be twisted off,2,0.07
Snack sandwich,2,0.07
Three-layered treat,2,0.07
Post-sandwich sandwich,2,0.07
Stacking contest cookie,2,0.07
Cookie treat,2,0.07
Popular treat to split,2,0.07
Jell-O pudding flavor,2,0.07
"Sundae topper, perhaps",2,0.07
"""Uh-Oh!"" cookie",2,0.07
Sandwich-style dunker,2,0.07
Dunked treat,2,0.07
Golden ___ (Nabisco cookie),2,0.07
Snack with a lickable center,2,0.07
"Lunchbox snack, perhaps",2,0.07
Embossed treat,2,0.07
Cookie sandwich,2,0.07
Crispy creme treat,2,0.07
Klondike bar variety,2,0.07
Treat often taken apart,2,0.07
Chocolaty treat,2,0.07
"Cookie jar denizen, often",2,0.07
"Cookie jar denizen, perhaps",2,0.07
Black and white bite,2,0.07
Frequently dunked cookie,2,0.07
Snack with several eating options,2,0.07
Droxie competitor,2,0.07
Dairy Queen Blizzard choice,2,0.07
Cream-filled treat,2,0.07
Chips Ahoy! alternative,2,0.07
Chocolaty snack,2,0.07
Vanilla ice cream add-in,2,0.07
Circular treat,2,0.07
"""Milk's favorite cookie"" sloganeer",2,0.07
Double Stuf Racing League brand,2,0.07
Fudgees brand,2,0.07
It can be twisted,2,0.07
McFlurry flavor at McDonald's,2,0.07
After-lunch snack,2,0.07
Cookie with its name on it,2,0.07
Cookie giant,2,0.07
Tiered snack,2,0.07
"Ice-cream extra, perhaps",2,0.07
Circular cookie,2,0.07
Big name at Nabisco,2,0.07
World's best-selling cookie,2,0.07
"Treat with a ""Golden"" variety",2,0.07
Nabisco trademark,2,0.07
Three-tiered snack,2,0.07
White-center snack,2,0.07
Cookie with creme in the middle,2,0.07
Double-disc cookie,2,0.07
Layered cookie treat,2,0.07
Snack with a creamy middle,2,0.07
One twisted cookie?,2,0.07
Brand with a 2012 centennial,2,0.07
Small sandwich,2,0.07
___ Blizzard (Dairy Queen offering),2,0.07
Blizzard flavor,2,0.07
Nabisco sandwich cookie,2,0.07
__ Cakesters,2,0.07
"""Double Stuf"" treat",2,0.07
Crumbly snack,2,0.07
It may get dipped in milk,2,0.07
Snack item that's round on both ends?,2,0.07
Cookies 'n Cream cookie,2,0.07
Breyers ___ Cookies & Cream,2,0.07
"""Wonderfilled"" snack",2,0.07
"Lunchbox cookie, sometimes",2,0.07
Three-tiered cookie,2,0.07
Cookie added to a McFlurry,2,0.07
Cookie in cookies-and-cream ice cream,2,0.07
Cookie with white filling,2,0.07
Type of cookie,2,0.07
Snack sometimes eaten from the inside out,2,0.07
Cookie that's often pulled apart,2,0.07
Cookie with flower designs,2,0.07
